month_year;sentiment;sentiment_truncated;favorites;retweets;replies
2018-01;0.40095479816325896;0.6851851851851852;25.185185185185187;13.123456790123457;0.5679012345679012
2018-02;0.37107230607630454;0.6536144578313253;22.60843373493976;10.355421686746988;0.6626506024096386
2018-03;0.3875495910584741;0.6271676300578035;22.612716763005782;12.15606936416185;0.8034682080924855
2018-04;0.3206951877953082;0.5532945736434108;18.281976744186046;7.251937984496124;0.75
2018-05;0.31773942887803885;0.5542809177392277;10.102686066032456;4.389759373251259;1.112758813654169
2018-06;0.2668780796951303;0.47564155345135173;7.07986825854261;3.8480856319473036;0.9076437491423082
2018-07;0.2436898922107931;0.44531990521327014;7.448341232227488;3.144312796208531;1.1798578199052132
2018-08;0.2500034137290022;0.45126889848812096;9.037526997840173;3.9461393088552916;0.896598272138229
2018-09;0.29098096078012464;0.5190017734988599;7.40233088421586;3.3193564732708385;1.2233341778566
2018-10;0.26912556792206455;0.47543814762696684;9.576563899194063;4.479467826531917;1.808750159907893
2018-11;0.24695190195676642;0.45090027700831026;7.95207756232687;3.5094182825484763;1.2250692520775623
2018-12;0.2652988693851761;0.4678277697145622;8.056603773584905;2.7387518142235123;2.885018545395904
2019-01;0.2783053903726264;0.47886993269682265;10.278447331350758;5.025356080763813;2.727343872280482
2019-02;0.28603103647393385;0.4957381520627344;10.867200818274805;4.662973065121037;1.4185134674394817
2019-03;0.2747182304202976;0.4820634450044471;11.405425437296175;5.563593240438778;2.826712125704121
2019-04;0.2614767610531311;0.4640708827832873;12.68980653552268;4.956429848805072;1.818566086815152
2019-05;0.24750378819240582;0.45687755744412967;8.074283915643688;3.330028328611898;1.7735284859930753
2019-06;0.265141354184629;0.4777795604042997;11.387453874538746;4.171506497673672;1.6433499117599872
2019-07;0.248661353401666;0.4529856386999244;10.259108087679516;3.459863945578231;1.3730914588057446
2019-08;0.24196449871767042;0.4469348659003831;8.572605363984675;3.2873563218390807;2.250574712643678
2019-09;0.2617481499433498;0.46958945767866195;11.958776820408852;3.7727656698766685;1.617840851495185
2019-10;0.254661165524157;0.4665638581242114;12.223888966774147;5.05369409785504;2.0686947988223747
2019-11;0.23793778187544382;0.4397437807239684;8.694622374497245;3.8964695367197972;2.320720989125577
2019-12;0.2670929407255856;0.4577830538655587;14.47558985012613;4.66538062027007;2.3654844932482564
2020-01;0.22973155351298796;0.425546875;10.17671875;4.430625;3.413125
2020-02;0.24193247720346978;0.4410063113604488;11.028927068723704;4.8518583450210375;2.2242286115007013
2020-03;0.19674903710931219;0.36982858615801006;17.193066116767625;6.851656141255316;2.732310864802165
2020-04;0.20538394479978464;0.38168373151308305;10.301858172165339;3.0642143850334977;1.5070155479711793
2020-05;0.2036686427116274;0.3796145809147899;8.936614813094963;2.6696076155096353;1.072440213605758
